id,name,viaf_id,comment,authors_count,artists_count,scribes_count,source_agents_count,sale_agents_count,provenance_count,is_artist,is_author,is_provenance_agent,is_scribe,reviewed,created_by,created_at,updated_by,updated_at
38995,Seller Test,,,0,0,0,0,1,1,false,false,true,false,true,hellerb,"January 28, 2016 10:59",hellerb,"January 28, 2016 10:59"
38994,Selling Agent Test,,,0,0,0,3,3,3,false,false,true,false,true,hellerb,"January 28, 2016 10:59",hellerb,"April 07, 2016 10:28"
38992,Scribe Test,,"",1,0,1,0,0,0,false,true,false,true,true,hellerb,"January 28, 2016 10:56",hellerb,"April 29, 2016 15:05"
38991,Author Test,,"",3,1,0,0,0,0,true,true,false,false,true,hellerb,"January 28, 2016 10:56",hellerb,"April 29, 2016 15:05"
38989,Test - Merged Into,,"",3,1,0,0,0,1,true,true,true,true,true,hellerb,"January 27, 2016 14:12",hellerb,"January 27, 2016 14:14"
36967,Testard,79036617,,0,0,0,0,0,10,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:20"
36966,"Testa, Antonio, Dr.",,,0,0,0,0,0,8,false,false,true,false,true,(none),"",(none),""
32178,Lyndoe - TEST,111111,TEST,0,0,0,2,2,11,true,true,true,true,true,(none),"",(none),"May 13, 2016 15:25"
20143,"Test, Johannes",,,0,0,1,0,0,0,false,false,false,true,true,(none),"",(none),""
18994,P. Testarduae,,,0,0,1,0,0,0,false,false,false,true,true,(none),"",(none),""
18654,Francesco Testa,315174142,,0,0,3,0,0,0,false,false,false,true,true,(none),"",(none),"October 15, 2015 12:13"
18653,Fr. Testa,,,0,0,1,0,0,0,false,false,false,true,true,(none),"",(none),""
18651,F. Testa,81770750,,0,0,1,0,0,0,false,false,false,true,true,(none),"",(none),"October 15, 2015 12:13"
15312,Johannes Test,,,0,0,2,0,0,0,false,false,false,true,true,(none),"",(none),""
6530,"Robinet Testard, style",,,0,0,0,0,0,0,true,false,false,false,true,(none),"",(none),""
6038,"Robinet Testard, follower",,,0,1,0,0,0,0,true,false,false,false,false,(none),"",(none),""
6037,"Robinet Testard, atelier",,,0,1,0,0,0,0,true,false,false,false,false,(none),"",(none),""
6036,Robinet Testard,66383622,,0,13,0,0,0,0,true,false,false,false,false,(none),"",(none),"October 15, 2015 12:09"
6032,Robert Testard,,,0,3,0,0,0,0,true,false,false,false,false,(none),"",(none),""
